,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,ppopro_sorted_cost,dqnpro_sorted_cost,dqnpro_cost,optuna_cost,optuna_trial,ppopro_cost,dcl_cost,dcl_probsp_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,DCLPro vs BSP,DQNPro vs BSP,PPOPro vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP,DCLPro vs ProBSP,DQNPro vs ProBSP,PPOPro vs ProBSP
70,21,5,1,10,1.0,1,10,2,1.603365,0,63.75,1.10868,86577,1.05893,1.012975,1.007155,0.0,0.0,0.0,,,,,0.7885,0.3085292494223086,0.33955774262254695,0.37184920464148835,,0.5082217710876812,1.0,,0.044873182523361275,0.09157286142078876,,0.2887938810116536,1.0,
71,22,5,2,10,1.0,1,10,3,1.83132,0,52.5,1.37118,18777,1.387175,1.33591,1.341645,0.0,0.0,0.0,,,,,1.008,0.25126138523032565,0.24252724810519188,0.2673890963894896,,0.44957735403970905,1.0,,-0.011665135139077278,0.02153984159628939,,0.26486675709972435,1.0,
72,23,5,3,10,1.0,1,10,3,1.793065,1,62.5,1.52675,71174,1.52002,1.565605,1.49929,0.0,0.0,0.0,,,,,1.1225,0.1485250116420765,0.15227836135332518,0.16383957079079672,,0.37397696123676494,1.0,,0.004408056328803095,0.01798591779924679,,0.26477812346487634,1.0,
73,24,5,4,10,1.0,1,10,3,1.920605,1,52.5,1.66873,98765,1.640175,1.632585,1.67157,0.0,0.0,0.0,,,,,1.2002,0.1311435719473811,0.14601128290304355,0.12966487122547318,,0.37509274421341193,1.0,,0.01711181557232153,-0.0017018930563961537,,0.28077040623707855,1.0,
74,25,5,5,10,1.0,1,10,4,1.931535,2,62.5,1.76609,53396,1.735975,1.726245,1.74059,0.0,0.0,0.0,,,,,1.2581,0.0856546736145087,0.1012459002813824,0.09885660886289915,,0.3486527554509755,1.0,,0.017051792377511844,0.014438675265699854,,0.28763539796952586,1.0,
75,26,5,1,20,1.0,1,10,1,1.23,0,82.5,0.646045,22716,0.7373749999999998,0.7173350000000001,0.647445,0.0,0.0,0.0,,,,,0.4709,0.474760162601626,0.400508130081301,0.47362195121951217,,0.6171544715447155,1.0,,-0.14136786137188556,-0.002167031708317637,,0.2711034061094815,1.0,
76,27,5,2,20,1.0,1,10,1,1.42078,0,76.25,0.80901,67596,0.9923749999999998,0.9246649999999998,0.846055,0.0,0.0,0.0,,,,,0.5915,0.43058742380945675,0.30152803389687366,0.40451371781697376,,0.5836793873787638,1.0,,-0.2266535642328275,-0.045790534109590726,,0.26885947021668455,1.0,
77,28,5,3,20,1.0,1,10,2,1.4292,0,70.0,0.9421649999999999,65023,1.08632,1.111615,0.9571549999999999,0.0,0.0,0.0,,,,,0.6655,0.3407745591939547,0.23991043940666112,0.3302861740834034,,0.5343548838511055,1.0,,-0.15300398550147803,-0.01591016435550031,,0.293648140187759,1.0,
78,29,5,4,20,1.0,1,10,2,1.41655,0,66.25,1.043335,96721,1.148165,1.096075,1.03676,0.0,0.0,0.0,,,,,0.7146,0.2634675796830328,0.1894638381984398,0.26810913839963296,,0.49553492640570396,1.0,,-0.10047587783406117,0.006301906865963471,,0.31508096632433485,1.0,
79,30,5,5,20,1.0,1,10,2,1.447515,0,62.5,1.134295,33372,1.198455,1.159545,1.11305,0.0,0.0,0.0,,,,,0.7553,0.21638463159276417,0.17206039315654764,0.2310615088617389,,0.4782092068130555,1.0,,-0.05656376868451328,0.018729695537756896,,0.33412383903658227,1.0,
80,31,5,1,10,5.0,1,10,2,1.605405,0,71.25,0.5509000000000001,4846,0.829265,0.6291700000000001,0.56835,0.0,0.0,0.0,,,,,0.4309,0.6568467146919312,0.4834543308386357,0.6459771833275716,,0.7315942083150357,1.0,,-0.5052913414412779,-0.03167544018878193,,0.21782537665638055,1.0,
81,32,5,2,10,5.0,1,10,3,1.82726,0,57.5,1.103725,17197,1.213435,1.124905,1.0915,0.0,0.0,0.0,,,,,0.7861,0.3959671858410954,0.33592646913958607,0.40265753094797685,,0.5697930234339941,1.0,,-0.09939975990396155,0.011076128564633537,,0.287775487553512,1.0,
82,33,5,3,10,5.0,1,10,3,1.768055,1,65.0,1.368895,59712,1.367535,1.34663,1.30382,0.0,0.0,0.0,,,,,0.9563,0.2257622076236316,0.22653141446391656,0.26256818933800136,,0.4591231607614016,1.0,,0.0009935020582294682,0.04753834297005979,,0.30140733949645515,1.0,
83,34,5,4,10,5.0,1,10,3,1.88592,1,56.25,1.533065,27309,1.487085,1.48826,1.477895,0.0,0.0,0.0,,,,,1.0702,0.18709966488504293,0.21148033850852638,0.21635329176211085,,0.43253160261304824,1.0,,0.02999220515764166,0.035986732460789296,,0.3019213144909054,1.0,
84,35,5,5,10,5.0,1,10,4,1.89451,1,48.75,1.666845,63910,1.611355,1.604775,1.59787,0.0,0.0,0.0,,,,,1.1554,0.1201709149067569,0.14946081044702844,0.15657874595541857,,0.39013254086808724,1.0,,0.03329043792314212,0.04138057227876618,,0.30683416874394437,1.0,
85,36,5,1,20,5.0,1,10,1,1.241025,0,86.25,0.2963399999999999,42603,0.513635,0.64082,0.33065,0.0,0.0,0.0,,,,,0.2464,0.7612135130235089,0.5861203440704257,0.7335670111399851,,0.8014544429000222,1.0,,-0.7332624687858547,-0.11577917257204606,,0.16852264291017038,1.0,
86,37,5,2,20,5.0,1,10,1,1.42445,0,78.75,0.6234650000000002,13672,0.8382600000000001,0.840085,0.6680649999999999,,0.0,0.0,,,,,0.4691,0.5623117694548773,0.41152023588051523,0.5310014391519534,,0.6706799115448067,1.0,,-0.34451813654335034,-0.07153569165871339,,0.247592086163618,1.0,
87,38,5,3,20,5.0,1,10,2,1.44429,0,72.5,0.811345,72570,1.01835,0.91959,0.8304750000000001,,0.0,0.0,,,,,0.5638,0.4382395502288322,0.29491307147456536,0.42499428785077786,,0.6096351840696813,1.0,,-0.2551380731994406,-0.023578132606967558,,0.3051044869938189,1.0,
88,39,5,4,20,5.0,1,10,2,1.439035,0,70.0,0.9541049999999999,64664,1.078695,1.07641,0.93793,,0.0,0.0,,,,,0.6262,0.33698276970330826,0.25040391651349697,0.3482229410681464,,0.564847276126015,1.0,,-0.13058311192164396,0.016953060721828134,,0.343678106707333,1.0,
89,40,5,5,20,5.0,1,10,2,1.44529,0,65.0,1.052415,63458,1.094485,1.13253,1.011105,,0.0,0.0,,,,,0.6838,0.27183125877851494,0.242722913740495,0.3004137577925538,,0.526876958949415,1.0,,-0.03997472479962736,0.03925257621755693,,0.35025631523686007,1.0,
120,21,10,1,10,1.0,1,10,4,2.44688,1,76.25,1.702905,63266,1.724395,1.59995,1.55444,0.0,0.0,0.0,0.0,0.0,0.0,,1.2185,0.30405046426469634,0.2952678513045185,0.3647256914928399,,0.5020188975348199,1.0,1.0,-0.01261961178104475,0.08718337194382532,,0.2844580290738473,1.0,1.0
121,22,10,2,10,1.0,1,10,5,2.59343,1,65.0,2.033739999999999,37419,2.128555,2.04924,2.032844999999999,0.0,0.0,0.0,0.0,0.0,0.0,,1.5549,0.21581072170831722,0.17925103048858082,0.21615582452582138,,0.4004465129191843,1.0,1.0,-0.04662100366811934,0.0004400759192423164,,0.235447992368739,1.0,1.0
122,23,10,3,10,1.0,1,10,5,2.70173,2,65.0,2.29798,75563,2.29704,2.24626,2.26244,0.0,0.0,0.0,0.0,0.0,0.0,,1.7125,0.14944128391808215,0.14978920913636817,0.16259581823498284,,0.36614687626076625,1.0,1.0,0.0004090549090940482,0.015465756882131318,,0.25478028529404084,1.0,1.0
123,24,10,4,10,1.0,1,10,6,2.77915,2,55.0,2.49538,16314,2.4532,2.41235,2.472040000000001,0.0,0.0,0.0,2.4052,88.0,0.0,,1.8249,0.10210675926092513,0.11728406167353334,0.11050501052480034,,0.3433603799722937,1.0,1.0,0.016903237182312958,0.009353284870440097,,0.26868853641529544,1.0,1.0
124,25,10,5,10,1.0,1,10,7,2.86643,3,57.5,2.63271,44154,2.553160000000001,2.531835,2.514535,0.0,0.0,0.0,0.0,0.0,0.0,,1.9028,0.08153696409819879,0.10928925527572585,0.12276420495180411,,0.3361777542099405,1.0,1.0,0.03021601315754447,0.04488720747822583,,0.27724663939438826,1.0,1.0
125,26,10,1,20,1.0,1,10,2,1.77555,0,82.5,1.118025,76778,1.463725,1.313665,1.09341,0.0,0.0,0.0,1.19307,24.0,0.0,,0.7896,0.37032187209597023,0.17562163836557687,0.38418518205626423,,0.5552927261975162,1.0,1.0,-0.30920596587732824,0.02201650231434901,,0.2937546119272825,1.0,1.0
126,27,10,2,20,1.0,1,10,3,2.01561,0,77.5,1.37976,73162,1.647795,1.63809,1.423395,0.0,0.0,0.0,1.498945,26.0,0.0,,1.0069,0.31546281274651344,0.18248321847976554,0.29381427954812694,,0.5004489955894246,1.0,1.0,-0.194262045573143,-0.03162506522873534,,0.27023540325853784,1.0,1.0
127,28,10,3,20,1.0,1,10,3,2.044035,1,81.25,1.56512,87351,1.753565,1.637255,1.606605,0.0,0.0,0.0,0.0,0.0,0.0,,1.1194,0.2342988256071936,0.1421061772425619,0.2140031848769713,,0.4523577140313155,1.0,1.0,-0.12040290840318951,-0.02650595481496626,,0.28478327540380294,1.0,1.0
128,29,10,4,20,1.0,1,10,4,2.194115,1,77.5,1.699025,42723,1.852905,1.7412,1.690435,0.0,0.0,0.0,0.0,0.0,0.0,,1.201,0.22564450815021092,0.15551144766796635,0.2295595262782489,,0.4526266854745535,1.0,1.0,-0.09056959138329337,0.0050558408498992645,,0.29312399758685126,1.0,1.0
129,30,10,5,20,1.0,1,10,4,2.17583,1,72.5,1.788985,33454,1.892665,1.826435,1.777455,0.0,0.0,0.0,0.0,0.0,0.0,,1.2543,0.17779192308222605,0.13014114154138876,0.183091050311835,,0.4235303309541646,1.0,1.0,-0.05795465026257905,0.00644499534652333,,0.29887617839165787,1.0,1.0
130,31,10,1,10,5.0,1,10,4,2.448935,0,72.5,0.9706150000000001,36352,1.49415,1.166585,1.136255,0.0,0.0,0.0,1.17983,43.0,0.0,,0.723,0.6036583249453333,0.3898776406887075,0.5360207600446725,,0.70476962434691,1.0,1.0,-0.5393848230245771,-0.17065468800708816,,0.25511144995698615,1.0,1.0
131,32,10,2,10,5.0,1,10,4,2.58791,1,68.75,1.699265,87375,1.900715,1.812765,1.75582,0.0,0.0,0.0,0.0,0.0,0.0,,1.2788,0.34338327067015467,0.26554053270786077,0.321529728622711,,0.5058560769114846,1.0,1.0,-0.11855125598420488,-0.0332820366452554,,0.24743933406502228,1.0,1.0
132,33,10,3,10,5.0,1,10,5,2.67885,2,68.75,2.092335,50807,2.13469,2.052665,2.029305,0.0,0.0,0.0,0.0,0.0,0.0,,1.4944,0.21894282994568576,0.20313194094480846,0.24247158295537272,,0.44214868320361356,1.0,1.0,-0.020242934329349815,0.030124239187319393,,0.2857740275816253,1.0,1.0
133,34,10,4,10,5.0,1,10,6,2.724515,2,57.5,2.31682,28468,2.26079,2.231045,2.220795,0.0,0.0,0.0,0.0,0.0,0.0,,1.6439,0.14963947711794576,0.17020460522331488,0.1848842821566407,,0.3966265555520891,1.0,1.0,0.024184010842447753,0.041446897039908163,,0.29044984072996605,1.0,1.0
134,35,10,5,10,5.0,1,10,7,2.837915,3,60.0,2.489,44887,2.470759999999999,2.43037,2.44616,0.0,0.0,0.0,0.0,0.0,0.0,,1.7535,0.12294765699465991,0.12937491080599708,0.13804324653839184,,0.38211680053842345,1.0,1.0,0.007328244274809531,0.017211731619124142,,0.29550020088388906,1.0,1.0
