,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,optuna_cost,optuna_trial,dcl_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP
65,16,5,1,20,5.0,1,5,1,0.9191600000000001,0,87.5,0.23875,29265,0.34108,0.5105900000000001,0.32835,,,0.3455,0.7402519691892597,0.6289220592715089,0.6427716610818573,0.6241133208581748,-0.428607329842932,-0.3752879581151832,-0.4471204188481675
66,17,5,2,20,5.0,1,5,1,0.9599850000000002,0,82.5,0.450235,63153,0.5497949999999999,0.6807300000000001,0.51441,,,0.5077,0.5309978801752111,0.42728792637384977,0.46414787731058305,0.4711375698578624,-0.2211289659844302,-0.14253667529179215,-0.1276333470298845
67,18,5,3,20,5.0,1,5,1,0.982935,0,78.75,0.569985,75505,0.66141,0.75312,0.6422400000000001,,,0.5974,0.4201193364769797,0.3271070823604816,0.3466098979077964,0.3922283772579061,-0.16039895786731245,-0.12676649385510178,-0.04809775695851659
68,19,5,4,20,5.0,1,5,1,1.01146,0,77.5,0.65293,94569,0.730325,0.8389,0.6999700000000001,,,0.6675,0.3544677990231942,0.27794969647835804,0.3079607695806062,0.3400628794020525,-0.11853491185885162,-0.07204447643698418,-0.022314796379397442
69,20,5,5,20,5.0,1,5,1,1.02807,0,75.0,0.7133649999999998,90756,0.784395,0.802145,0.73858,,,0.7766,0.30611242425126717,0.23702179812658677,0.28158588422967307,0.24460396665596706,-0.09957034617622139,-0.03534656171805488,-0.08864326116364017
90,41,5,1,5,1.0,1,5,3,1.585775,1,60.0,1.34677,30432,1.21629,1.220455,1.22348,,,1.2086,0.1507181031356907,0.23299963740127058,0.2284655767684571,0.23784900127697817,0.0968836549670693,0.09154495570884422,0.10259361286633956
91,42,5,2,5,1.0,1,5,4,1.757295,1,41.25,1.581545,26249,1.578295,1.56883,1.59669,,,1.5348,0.10001166565659156,0.10186109901866224,0.0913933061893422,0.12661220796735898,0.0020549525938243773,-0.00957607908722165,0.02955654123025272
92,43,5,3,5,1.0,1,5,4,1.83472,2,47.5,1.737665,69931,1.729925,1.71771,1.70712,,,1.7107,0.05289907996860551,0.057117707334089114,0.0695473968779977,0.06759614546088766,0.0044542532651576,0.01757818681966895,0.015517950813304007
93,44,5,4,5,1.0,1,5,5,1.910025,3,50.0,1.856435,55678,1.899515,1.89758,1.8912,,,1.868,0.028057224381879832,0.005502545778196631,0.00985589193858724,0.022002329812436997,-0.02320576804466626,-0.018726753158607726,-0.006229682159623174
94,45,5,5,5,1.0,1,5,5,2.058605,3,40.0,1.935985,83691,2.06779,2.16675,2.06191,,,2.0522,0.059564608071971045,-0.0044617592981655045,-0.0016054561219855743,0.0031113302454817676,-0.06808162253323241,-0.06504440891845756,-0.060028874190657444
95,46,5,1,5,5.0,1,5,3,1.563835,0,50.0,0.766775,3263,0.8280100000000001,0.7289800000000001,0.723155,,,0.7289,0.5096829269072505,0.47052598260046613,0.5375758951551795,0.5339022339313291,-0.07986045450099462,0.05688761370675882,0.04939519415734732
96,47,5,2,5,5.0,1,5,4,1.665595,1,46.25,1.301175,52602,1.32499,1.31193,1.287225,,,1.2856,0.21879268369561627,0.20449448995704242,0.22716806906841092,0.22814369639678306,-0.018302687955117428,0.010721079024727579,0.01196995023728545
